Wed Apr 21 19:40:25 2021				
				
				
Number of Points = 2987				
				
Depth (nm)	Load (µN)	Time (s)	Disp. Voltage(V)	Force Voltage(V)
-22.207012	-4.44867	1.350848	0.005039	0.991055
-22.003631	-4.488468	1.360845	0.004994	0.991101
-21.734979	-4.424608	1.370842	0.004935	0.991323
-21.496945	-4.535815	1.380838	0.004883	0.991288
-21.783922	-4.425175	1.390835	0.004945	0.991299
-21.59204	-4.445422	1.400832	0.004903	0.991367
-21.551762	-4.455204	1.410829	0.004894	0.991374
-21.670961	-4.417311	1.420826	0.00492	0.991367
-21.437768	-4.504917	1.430822	0.004869	0.991362
-21.584485	-4.445459	1.440819	0.004901	0.991372
-21.267907	-4.513327	1.450816	0.004832	0.991436
-21.367337	-4.439101	1.460813	0.004853	0.991489
-21.23537	-4.424305	1.47081	0.004824	0.991576
-20.814209	-4.503092	1.480806	0.004732	0.991676
-21.012141	-4.475352	1.490803	0.004775	0.991617
-20.973877	-4.447809	1.5008	0.004767	0.991674
-20.931804	-4.461407	1.510797	0.004757	0.991676
-20.949328	-4.454023	1.520794	0.004761	0.991678
-20.918717	-4.468598	1.53079	0.004754	0.991674
-21.046576	-4.42697	1.540787	0.004782	0.991668
-20.588848	-4.508984	1.550784	0.004682	0.991783
-20.522423	-4.519611	1.560781	0.004667	0.991801
-20.834724	-4.348126	1.570778	0.004735	0.991883
-20.160269	-4.540598	1.580774	0.004587	0.991953
-20.382807	-4.466393	1.590771	0.004636	0.991945
-20.264362	-4.46977	1.600768	0.00461	0.991999
-20.250855	-4.478534	1.610765	0.004607	0.991994
-20.181425	-4.504804	1.620762	0.004591	0.991993
-20.281946	-4.466436	1.630758	0.004613	0.991996
-20.387756	-4.430756	1.640755	0.004636	0.991994
-20.210681	-4.501182	1.650752	0.004597	0.991985
-20.053718	-4.512289	1.660749	0.004563	0.992048
-19.850655	-4.513672	1.670746	0.004518	0.992147
-19.685391	-4.497031	1.680742	0.004482	0.992252
-19.830831	-4.42533	1.690739	0.004514	0.992279
-19.497753	-4.547895	1.700736	0.004441	0.992276
-19.76535	-4.454427	1.710733	0.004499	0.992272
-19.60228	-4.503999	1.72073	0.004463	0.992285
-19.592951	-4.504288	1.730726	0.004461	0.99229
-19.762384	-4.433596	1.740723	0.004498	0.992304
-19.814769	-4.420817	1.75072	0.004509	0.992296
-19.425633	-4.431776	1.760717	0.004424	0.992474
-19.190812	-4.475283	1.770714	0.004372	0.992531
-18.893038	-4.58118	1.78071	0.004307	0.992533
-19.523813	-4.317913	1.790707	0.004445	0.992583
-18.910652	-4.509165	1.800704	0.004311	0.992624
-19.079932	-4.449074	1.810701	0.004347	0.992623
-18.842166	-4.532652	1.820698	0.004295	0.992626
-19.142138	-4.426239	1.830694	0.004361	0.992625
-18.937978	-4.504082	1.840691	0.004316	0.992619
-19.096166	-4.449908	1.850688	0.00435	0.992616
-18.769329	-4.41618	1.860685	0.004279	0.992824
-18.664993	-4.470999	1.870682	0.004256	0.992801
-18.257843	-4.582592	1.880678	0.004167	0.992849
-18.660713	-4.392828	1.890675	0.004254	0.992912
-18.433208	-4.497674	1.900672	0.004205	0.99288
-18.448423	-4.456174	1.910669	0.004208	0.99293
-18.139335	-4.568293	1.920666	0.00414	0.992929
-18.428732	-4.469997	1.930662	0.004203	0.992922
-18.384256	-4.486724	1.940659	0.004193	0.992921
-18.397324	-4.479467	1.950656	0.004196	0.992925
-18.149863	-4.478534	1.960653	0.004142	0.993049
-17.965603	-4.52539	1.97065	0.004101	0.993076
-18.225178	-4.392655	1.980646	0.004158	0.993131
-17.692103	-4.492828	1.990643	0.004041	0.993257
-17.655451	-4.505096	2.00064	0.004033	0.993259
-17.871179	-4.489307	2.010637	0.00408	0.993174
-17.695732	-4.498034	2.020634	0.004041	0.99325
-17.705345	-4.495537	2.03063	0.004043	0.993249
-17.912815	-4.418252	2.040627	0.004088	0.993253
-17.592223	-4.531555	2.050624	0.004018	0.993256
-17.765	-4.433092	2.060621	0.004056	0.993306
-17.259168	-4.507726	2.070618	0.003945	0.993454
-17.194911	-4.542409	2.080614	0.003931	0.993439
-17.300873	-4.50214	2.090611	0.003954	0.993442
-17.416416	-4.375264	2.100608	0.003979	0.99356
-16.945497	-4.551823	2.110605	0.003876	0.993551
-17.200471	-4.45104	2.120602	0.003931	0.993563
-17.035803	-4.513943	2.130598	0.003895	0.993559
-17.241224	-4.442505	2.140595	0.00394	0.993556
-17.069552	-4.502534	2.150592	0.003902	0.993558
-16.813188	-4.494007	2.160589	0.003846	0.993698
-16.665413	-4.543057	2.170586	0.003814	0.993704
-16.989412	-4.364247	2.180582	0.003884	0.99379
-16.584311	-4.473526	2.190579	0.003796	0.99384
-16.384309	-4.520629	2.200576	0.003752	0.993875
-16.545431	-4.466543	2.210573	0.003787	0.99387
-16.548538	-4.46065	2.22057	0.003787	0.993877
-16.525717	-4.472032	2.230566	0.003782	0.993873
-16.750505	-4.395164	2.240563	0.003831	0.993868
-16.464447	-4.429654	2.25056	0.003768	0.993962
-16.051098	-4.510538	2.260557	0.003678	0.994056
-16.016548	-4.518584	2.270554	0.00367	0.994062
-16.006823	-4.547295	2.28055	0.003668	0.994028
-16.247476	-4.44206	2.290547	0.00372	0.994054
-15.717473	-4.547618	2.300544	0.003604	0.994171
-15.764445	-4.579004	2.310541	0.003614	0.994105
-15.738701	-4.538894	2.320538	0.003609	0.994174
-15.668618	-4.562784	2.330534	0.003593	0.994176
-15.840846	-4.554069	2.340531	0.003631	0.994103
-15.732608	-4.536468	2.350528	0.003607	0.994181
-15.764301	-4.52728	2.360525	0.003614	0.994178
-15.840335	-4.497887	2.370522	0.00363	0.994182
-15.490721	-4.55839	2.380518	0.003553	0.994272
-15.62921	-4.456995	2.390515	0.003584	0.994343
-15.192636	-4.577394	2.400512	0.003488	0.994394
-15.130478	-4.597184	2.410509	0.003474	0.994398
-14.996841	-4.622451	2.420506	0.003445	0.994429
-15.458673	-4.402783	2.430502	0.003546	0.994504
-14.805772	-4.633302	2.440499	0.003403	0.99451
-15.209116	-4.49115	2.450496	0.003491	0.994506
-14.843881	-4.624417	2.460493	0.003411	0.994504
-15.215376	-4.493093	2.47049	0.003492	0.994501
-14.968928	-4.581768	2.480486	0.003438	0.994502
-14.832843	-4.550002	2.490483	0.003408	0.994613
-14.822712	-4.537783	2.50048	0.003405	0.994635
-14.617875	-4.483378	2.510477	0.003361	0.994812
-14.467329	-4.613677	2.520474	0.003327	0.994707
-14.359921	-4.576297	2.53047	0.003304	0.994812
-14.644002	-4.54229	2.540467	0.003366	0.994719
-14.206334	-4.632198	2.550464	0.00327	0.994812
-14.379262	-4.573418	2.560461	0.003308	0.994808
-14.22555	-4.620388	2.570458	0.003274	0.994819
-14.408318	-4.556194	2.580454	0.003314	0.994818
-14.370301	-4.574066	2.590451	0.003305	0.994812
-14.362387	-4.573098	2.600448	0.003303	0.994818
-14.231813	-4.467741	2.610445	0.003274	0.995028
-13.669438	-4.645854	2.620442	0.003151	0.995061
-13.7485	-4.608491	2.630438	0.003169	0.995074
-13.802567	-4.552367	2.640435	0.00318	0.995125
-13.787106	-4.627974	2.650432	0.003177	0.995029
-13.998641	-4.470249	2.660429	0.003223	0.995141
-13.541091	-4.642679	2.670426	0.003123	0.995131
-13.809734	-4.542318	2.680422	0.003181	0.995136
-13.726987	-4.573262	2.690419	0.003163	0.995135
-13.533964	-4.59359	2.700416	0.00312	0.995203
